E_AA_NAME,Label (Grouping),Geoid1,Median HH Income,Total (Household Count Census 2020.csv),Total: (Population Race P3 Census 2020.csv),Total: (Population Race P8 Census 2020.csv),Total:!!American Indian and Alaska Native alone,Total:!!Asian alone,Total:!!Black or African American alone,Total:!!Native Hawaiian and Other Pacific Islander alone,Total:!!White alone,Total:!!Two or More Races,Total:!!Some Other Race alone
,Block Group 1; Census Tract 612; San Francisco County; California,60750612001,"$66,774",460,"1,428","1,428",21,420,290,4,182,138,373
,Block Group 1; Census Tract 9806; San Francisco County; California,60759806001,"$120,268",681,"1,340","1,340",13,474,337,9,285,89,133
,Block Group 2; Census Tract 231.02; San Francisco County; California,60750231022,"$24,250",524,"1,473","1,473",13,137,753,34,126,155,255
,Block Group 2; Census Tract 231.03; San Francisco County; California,60750231032,"$29,511",901,"2,655","2,655",21,190,"1,242",268,164,275,495
,Block Group 2; Census Tract 232; San Francisco County; California,60750232002,"$76,719",474,"1,845","1,845",53,270,549,11,193,257,512
,Block Group 2; Census Tract 234; San Francisco County; California,60750234002,,692,"2,430","2,430",32,475,718,163,162,222,658
,Block Group 3; Census Tract 232; San Francisco County; California,60750232003,"$150,875",447,"1,518","1,518",26,210,373,7,198,167,537
CHAVEZ,Block Group 1; Census Tract 209; San Francisco County; California,60750209001,"$92,375",727,"1,701","1,701",40,258,48,0,599,218,538
,Block Group 1; Census Tract 210; San Francisco County; California,60750210001,"$161,795",550,"1,033","1,033",4,182,8,2,595,109,133
,Block Group 1; Census Tract 228.03; San Francisco County; California,60750228031,"$141,750",798,"1,873","1,873",39,252,47,3,786,243,503
,Block Group 1; Census Tract 229.01; San Francisco County; California,60750229011,"$118,125",643,"1,609","1,609",16,172,39,3,680,198,501
,Block Group 1; Census Tract 229.02; San Francisco County; California,60750229021,"$178,571",429,"1,141","1,141",29,161,30,0,433,219,269
,Block Group 1; Census Tract 251; San Francisco County; California,60750251001,"$111,799",641,"1,575","1,575",22,206,32,0,925,245,145
,Block Group 1; Census Tract 252; San Francisco County; California,60750252001,"$93,400",539,"1,173","1,173",3,174,31,1,509,164,291
,Block Group 2; Census Tract 209; San Francisco County; California,60750209002,"$82,896",365,881,881,20,128,20,0,283,139,291
,Block Group 2; Census Tract 210; San Francisco County; California,60750210002,,519,954,954,6,123,21,0,592,130,82
,Block Group 2; Census Tract 228.03; San Francisco County; California,60750228032,"$183,125",442,"1,165","1,165",9,166,18,2,536,155,279
,Block Group 2; Census Tract 229.01; San Francisco County; California,60750229012,"$56,477",550,"1,614","1,614",41,203,145,16,467,233,509
,Block Group 2; Census Tract 229.02; San Francisco County; California,60750229022,"$142,417",412,"1,142","1,142",25,149,30,5,430,145,358
,Block Group 3; Census Tract 208.01; San Francisco County; California,60750208013,"$164,405",519,"1,055","1,055",32,180,43,4,398,130,268
,Block Group 3; Census Tract 209; San Francisco County; California,60750209003,"$245,697",367,673,673,13,112,5,0,316,89,138
,Block Group 3; Census Tract 210; San Francisco County; California,60750210003,"$183,036",787,"1,374","1,374",11,214,25,1,862,165,96
,Block Group 3; Census Tract 228.03; San Francisco County; California,60750228033,"$195,536",442,"1,342","1,342",28,159,27,0,422,231,475
,Block Group 3; Census Tract 229.01; San Francisco County; California,60750229013,"$93,536",364,"1,052","1,052",34,57,12,7,252,129,561
,Block Group 4; Census Tract 209; San Francisco County; California,60750209004,"$130,893",514,"1,041","1,041",18,163,37,0,448,146,229
,Block Group 4; Census Tract 210; San Francisco County; California,60750210004,"$101,932",400,852,852,2,133,27,6,486,93,105
,Block Group 4; Census Tract 253; San Francisco County; California,60750253004,"$155,563",772,"1,689","1,689",40,335,26,4,776,204,304
CHIN,Block Group 1; Census Tract 101.01; San Francisco County; California,60750101011,"$88,790",548,838,838,2,202,39,4,446,110,35
,Block Group 1; Census Tract 105; San Francisco County; California,60750105001,"$156,490",745,"1,265","1,265",3,494,32,6,586,102,42
,Block Group 1; Census Tract 106; San Francisco County; California,60750106001,"$82,150",732,"1,212","1,212",2,490,20,1,577,92,30
,Block Group 1; Census Tract 107.01; San Francisco County; California,60750107011,"$28,098",992,"1,760","1,760",2,"1,452",83,1,140,60,22
,Block Group 1; Census Tract 107.02; San Francisco County; California,60750107021,"$73,750",446,851,851,6,254,13,1,478,75,24
,Block Group 1; Census Tract 117; San Francisco County; California,60750117001,,299,400,400,2,219,16,0,140,21,2
,Block Group 1; Census Tract 118; San Francisco County; California,60750118001,"$40,321",813,"1,589","1,589",4,"1,338",10,0,153,47,37
,Block Group 1; Census Tract 179.03; San Francisco County; California,60750179031,"$83,077",722,"2,747","2,747",56,537,465,34,851,301,503
,Block Group 1; Census Tract 611.01; San Francisco County; California,60750611011,,552,"1,137","1,137",0,"1,002",38,1,70,19,7
,Block Group 1; Census Tract 615.01; San Francisco County; California,60750615011,,544,809,809,0,203,38,2,499,56,11
,Block Group 1; Census Tract 615.07; San Francisco County; California,60750615071,"$93,466","1,028","1,738","1,738",23,639,164,2,629,112,169
,Block Group 2; Census Tract 104.02; San Francisco County; California,60750104022,"$177,267",559,699,699,1,112,3,0,507,53,23
,Block Group 2; Census Tract 105; San Francisco County; California,60750105002,"$209,871",611,865,865,6,261,44,3,465,66,20
,Block Group 2; Census Tract 106; San Francisco County; California,60750106002,,791,"1,228","1,228",3,643,29,0,406,84,63
,Block Group 2; Census Tract 107.01; San Francisco County; California,60750107012,"$21,003","1,035","1,961","1,961",3,"1,747",15,6,130,38,22
,Block Group 2; Census Tract 107.02; San Francisco County; California,60750107022,,394,775,775,2,520,3,0,194,36,20
,Block Group 2; Census Tract 117; San Francisco County; California,60750117002,"$44,000",226,442,442,2,230,14,0,127,45,24
,Block Group 2; Census Tract 611.01; San Francisco County; California,60750611012,"$14,943",558,871,871,0,680,18,7,131,26,9
,Block Group 2; Census Tract 615.01; San Francisco County; California,60750615012,"$243,345",389,518,518,3,165,7,1,279,45,18
,Block Group 3; Census Tract 104.02; San Francisco County; California,60750104023,,544,814,814,0,179,4,0,516,98,17
,Block Group 3; Census Tract 105; San Francisco County; California,60750105003,"$116,923",789,"1,104","1,104",0,449,25,0,524,72,34
,Block Group 3; Census Tract 106; San Francisco County; California,60750106003,"$38,417",677,"1,278","1,278",5,610,22,10,487,73,71
,Block Group 3; Census Tract 117; San Francisco County; California,60750117003,,180,272,272,2,29,43,2,131,42,23
,Block Group 3; Census Tract 615.01; San Francisco County; California,60750615013,,567,779,779,1,235,27,1,387,87,41
,Block Group 4; Census Tract 117; San Francisco County; California,60750117004,"$113,859",615,791,791,4,302,70,2,294,53,66
CLARENDON,Block Group 1; Census Tract 204.01; San Francisco County; California,60750204011,"$172,788",588,"1,065","1,065",9,144,15,1,767,107,22
,Block Group 1; Census Tract 204.02; San Francisco County; California,60750204021,"$140,455",711,"1,296","1,296",11,292,36,5,738,127,87
,Block Group 1; Census Tract 217; San Francisco County; California,60750217001,"$153,580",648,"1,281","1,281",5,403,47,0,661,148,17
,Block Group 1; Census Tract 301.01; San Francisco County; California,60750301011,"$141,838",720,"1,369","1,369",0,304,42,0,844,147,32
,Block Group 1; Census Tract 301.02; San Francisco County; California,60750301021,"$203,534",630,"1,409","1,409",4,480,9,0,725,148,43
,Block Group 1; Census Tract 303.01; San Francisco County; California,60750303011,"$80,625",496,"1,260","1,260",1,552,26,2,484,158,37
,Block Group 1; Census Tract 303.02; San Francisco County; California,60750303021,"$115,288",502,"1,274","1,274",0,607,0,0,486,136,45
,Block Group 1; Census Tract 304; San Francisco County; California,60750304001,"$152,813",412,"1,074","1,074",4,289,5,2,631,115,28
,Block Group 1; Census Tract 305; San Francisco County; California,60750305001,"$181,429",399,945,945,3,223,13,1,575,100,30
,Block Group 1; Census Tract 306; San Francisco County; California,60750306001,"$189,239",298,752,752,0,227,12,1,406,81,25
,Block Group 2; Census Tract 204.01; San Francisco County; California,60750204012,"$160,250",481,853,853,4,170,5,1,555,93,25
,Block Group 2; Census Tract 204.02; San Francisco County; California,60750204022,"$105,083",707,"1,116","1,116",5,211,29,0,681,143,47
,Block Group 2; Census Tract 212; San Francisco County; California,60750212002,"$174,226",606,"1,182","1,182",3,149,14,0,860,135,21
,Block Group 2; Census Tract 213; San Francisco County; California,60750213002,"$168,759",725,"1,496","1,496",10,224,20,0,991,209,42
,Block Group 2; Census Tract 216; San Francisco County; California,60750216002,"$161,793",792,"1,409","1,409",5,410,35,6,746,169,38
,Block Group 2; Census Tract 301.01; San Francisco County; California,60750301012,"$130,087",629,"1,341","1,341",4,323,27,3,769,169,46
,Block Group 2; Census Tract 301.02; San Francisco County; California,60750301022,"$218,013",470,"1,012","1,012",2,129,21,1,726,100,33
,Block Group 2; Census Tract 302.02; San Francisco County; California,60750302022,"$126,212",773,"1,453","1,453",2,463,29,2,726,165,66
,Block Group 2; Census Tract 303.01; San Francisco County; California,60750303012,,867,"1,966","1,966",6,690,15,3,998,191,63
,Block Group 2; Census Tract 303.02; San Francisco County; California,60750303022,"$245,000",458,"1,129","1,129",1,371,13,6,601,117,20
,Block Group 2; Census Tract 305; San Francisco County; California,60750305002,"$208,810",357,885,885,1,301,3,3,436,120,21
,Block Group 2; Census Tract 306; San Francisco County; California,60750306002,"$173,421",311,788,788,0,266,6,0,378,113,25
,Block Group 3; Census Tract 204.02; San Francisco County; California,60750204023,"$207,578",620,"1,154","1,154",6,149,31,3,767,162,36
,Block Group 3; Census Tract 301.02; San Francisco County; California,60750301023,"$154,097",891,"2,168","2,168",6,584,124,1,"1,154",204,95
,Block Group 3; Census Tract 302.01; San Francisco County; California,60750302013,"$142,386",533,"1,131","1,131",5,398,14,0,587,108,19
,Block Group 3; Census Tract 302.02; San Francisco County; California,60750302023,"$111,825",701,"1,436","1,436",2,395,40,0,782,172,45
,Block Group 3; Census Tract 303.01; San Francisco County; California,60750303013,"$160,250",749,"1,658","1,658",4,578,37,0,833,157,49
,Block Group 3; Census Tract 303.02; San Francisco County; California,60750303023,"$135,278",493,"1,267","1,267",3,645,8,3,435,133,40
,Block Group 3; Census Tract 304; San Francisco County; California,60750304003,"$99,591",536,"1,339","1,339",2,645,22,0,519,110,41
,Block Group 3; Census Tract 305; San Francisco County; California,60750305003,,314,"1,390","1,390",15,301,251,8,614,106,95
,Block Group 4; Census Tract 204.02; San Francisco County; California,60750204024,"$163,359",608,981,981,6,142,37,2,632,129,33
,Block Group 4; Census Tract 301.01; San Francisco County; California,60750301014,"$155,469",434,994,994,3,234,16,2,601,114,24
,Block Group 4; Census Tract 301.02; San Francisco County; California,60750301024,"$184,228",426,911,911,0,100,26,1,659,93,32
,Block Group 4; Census Tract 303.01; San Francisco County; California,60750303014,,482,"1,192","1,192",4,524,12,0,478,145,29
CLEVELAND,Block Group 1; Census Tract 260.01; San Francisco County; California,60750260011,"$190,909",364,"1,236","1,236",19,599,19,2,236,140,221
,Block Group 1; Census Tract 260.03; San Francisco County; California,60750260031,"$116,250",639,"2,337","2,337",50,"1,079",29,3,413,224,539
,Block Group 1; Census Tract 260.04; San Francisco County; California,60750260041,"$78,558",676,"2,228","2,228",19,"1,007",45,2,397,260,498
,Block Group 1; Census Tract 263.01; San Francisco County; California,60750263011,,352,"1,255","1,255",20,756,14,0,131,112,222
,Block Group 1; Census Tract 263.02; San Francisco County; California,60750263021,"$92,177",357,"1,142","1,142",20,627,4,0,173,111,207
,Block Group 1; Census Tract 605.02; San Francisco County; California,60750605021,"$14,018",372,"1,114","1,114",11,224,333,161,39,104,242
,Block Group 1; Census Tract 9805.01; San Francisco County; California,60759805011,"$11,316",94,125,125,0,116,0,0,1,6,2
,Block Group 2; Census Tract 260.01; San Francisco County; California,60750260012,"$110,625",429,"1,523","1,523",19,550,24,0,212,176,542
,Block Group 2; Census Tract 260.02; San Francisco County; California,60750260022,"$140,104",585,"1,740","1,740",17,664,78,3,429,230,319
,Block Group 2; Census Tract 260.03; San Francisco County; California,60750260032,"$87,230",763,"2,553","2,553",51,"1,094",44,16,469,245,634
,Block Group 2; Census Tract 260.04; San Francisco County; California,60750260042,"$150,000",534,"1,934","1,934",12,"1,016",15,4,302,193,392
,Block Group 2; Census Tract 263.01; San Francisco County; California,60750263012,"$74,722",691,"2,413","2,413",11,"1,501",25,2,241,209,424
,Block Group 3; Census Tract 260.01; San Francisco County; California,60750260013,"$138,053",406,"1,397","1,397",31,487,32,6,193,144,504
,Block Group 3; Census Tract 263.02; San Francisco County; California,60750263023,"$79,403",785,"2,434","2,434",24,"1,293",199,24,351,187,356
,Block Group 4; Census Tract 260.01; San Francisco County; California,60750260014,"$74,875",426,"1,397","1,397",22,497,20,3,211,152,492
COBB,Block Group 1; Census Tract 126.01; San Francisco County; California,60750126011,"$200,262",724,"1,134","1,134",0,106,9,3,898,97,21
,Block Group 1; Census Tract 126.02; San Francisco County; California,60750126021,"$217,407",968,"1,595","1,595",1,136,11,0,"1,264",163,20
,Block Group 1; Census Tract 127; San Francisco County; California,60750127001,"$234,309","1,000","1,684","1,684",1,183,7,0,"1,299",163,31
,Block Group 1; Census Tract 128.01; San Francisco County; California,60750128011,,428,905,905,4,52,5,0,729,100,15
,Block Group 1; Census Tract 128.02; San Francisco County; California,60750128021,,516,902,902,0,153,10,4,638,75,22
,Block Group 1; Census Tract 132; San Francisco County; California,60750132001,"$201,938",379,748,748,0,84,6,2,589,48,19
,Block Group 1; Census Tract 133; San Francisco County; California,60750133001,,293,683,683,2,29,2,0,569,71,10
,Block Group 1; Census Tract 134.01; San Francisco County; California,60750134011,"$182,833",386,730,730,1,102,9,0,519,88,11
,Block Group 1; Census Tract 134.02; San Francisco County; California,60750134021,"$175,188","1,265","2,253","2,253",0,330,32,0,"1,623",231,37
,Block Group 1; Census Tract 135; San Francisco County; California,60750135001,"$199,861",865,"1,425","1,425",1,210,23,1,"1,015",137,38
,Block Group 1; Census Tract 153; San Francisco County; California,60750153001,"$181,597",497,"1,018","1,018",4,127,39,5,706,94,43
